0 2
710.001 327 200 -300
411 670
90
50.4 74 0
135.2 74 0
220 74 0
304.8 74 0
389.6 74 0
474.4 74 0
559.2 74 0
644 74 0
728.8 74 0
813.6 74 0
898.4 74 0
983.2 74 0
1068 74 0
1152.8 74 0
1237.6 74 0
50.4 110 0
135.2 110 0
220 110 0
304.8 110 0
389.6 110 0
474.4 110 0
559.2 110 0
644 110 0
728.8 110 0
813.6 110 0
898.4 110 0
983.2 110 0
1068 110 0
1152.8 110 0
1237.6 110 0
50.4 146 0
135.2 146 0
220 146 0
304.8 146 0
389.6 146 0
474.4 146 0
559.2 146 0
644 146 0
728.8 146 0
813.6 146 0
898.4 146 0
983.2 146 0
1068 146 0
1152.8 146 0
1237.6 146 0
50.4 182 0
135.2 182 0
220 182 0
304.8 182 0
389.6 182 0
474.4 182 0
559.2 182 0
644 182 0
728.8 182 0
813.6 182 0
898.4 182 0
983.2 182 0
1068 182 0
1152.8 182 0
1237.6 182 0
50.4 218 0
135.2 218 0
220 218 0
304.8 218 0
389.6 218 0
474.4 218 0
559.2 218 0
644 218 0
728.8 218 0
813.6 218 0
898.4 218 0
983.2 218 0
1068 218 0
1152.8 218 0
1237.6 218 0
50.4 254 0
135.2 254 0
220 254 0
304.8 254 0
389.6 254 0
474.4 254 0
559.2 254 0
644 254 0
728.8 254 0
813.6 254 0
898.4 254 0
983.2 254 0
1068 254 0
1152.8 254 0
1237.6 254 0
